T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,,,,
,,,,,,,
Year,Region,County Name,District Name,District Number,Charter Status,Gender,Enrollment
2014-2015,10,DALLAS COUNTY,ACADEMY OF DALLAS,057810,OPEN ENROLLMENT CHARTER,Female,278
2014-2015,10,DALLAS COUNTY,ACADEMY OF DALLAS,057810,OPEN ENROLLMENT CHARTER,Male,366
2014-2015,04,HARRIS COUNTY,ACCELERATED INTERMEDIATE ACADEMY,101849,OPEN ENROLLMENT CHARTER,Female,138
2014-2015,04,HARRIS COUNTY,ACCELERATED INTERMEDIATE ACADEMY,101849,OPEN ENROLLMENT CHARTER,Male,116
2014-2015,16,OLDHAM COUNTY,ADRIAN ISD,180903,TRADITIONAL ISD/CSD,Female,64
2014-2015,16,OLDHAM COUNTY,ADRIAN ISD,180903,TRADITIONAL ISD/CSD,Male,53
2014-2015,10,DALLAS COUNTY,ADVANTAGE ACADEMY,057806,OPEN ENROLLMENT CHARTER,Female,796
2014-2015,10,DALLAS COUNTY,ADVANTAGE ACADEMY,057806,OPEN ENROLLMENT CHARTER,Male,837
2014-2015,02,NUECES COUNTY,AGUA DULCE ISD,178901,TRADITIONAL ISD/CSD,Female,193
2014-2015,02,NUECES COUNTY,AGUA DULCE ISD,178901,TRADITIONAL ISD/CSD,Male,204
2014-2015,20,BEXAR COUNTY,ALAMO HEIGHTS ISD,015901,TRADITIONAL ISD/CSD,Female,2328
2014-2015,20,BEXAR COUNTY,ALAMO HEIGHTS ISD,015901,TRADITIONAL ISD/CSD,Male,2435
2014-2015,07,WOOD COUNTY,ALBA-GOLDEN ISD,250906,TRADITIONAL ISD/CSD,Female,410
2014-2015,07,WOOD COUNTY,ALBA-GOLDEN ISD,250906,TRADITIONAL ISD/CSD,Male,444
2014-2015,14,SHACKELFORD COUNTY,ALBANY ISD,209901,TRADITIONAL ISD/CSD,Female,250
2014-2015,14,SHACKELFORD COUNTY,ALBANY ISD,209901,TRADITIONAL ISD/CSD,Male,238
2014-2015,04,HARRIS COUNTY,ALDINE ISD,101902,TRADITIONAL ISD/CSD,Female,34075
2014-2015,04,HARRIS COUNTY,ALDINE ISD,101902,TRADITIONAL ISD/CSD,Male,35641
2014-2015,11,PARKER COUNTY,ALEDO ISD,184907,TRADITIONAL ISD/CSD,Female,2414
2014-2015,11,PARKER COUNTY,ALEDO ISD,184907,TRADITIONAL ISD/CSD,Male,2623
2014-2015,02,JIM WELLS COUNTY,ALICE ISD,125901,TRADITIONAL ISD/CSD,Female,2511
2014-2015,02,JIM WELLS COUNTY,ALICE ISD,125901,TRADITIONAL ISD/CSD,Male,2734
2014-2015,04,HARRIS COUNTY,ALIEF ISD,101903,TRADITIONAL ISD/CSD,Female,22648
2014-2015,04,HARRIS COUNTY,ALIEF ISD,101903,TRADITIONAL ISD/CSD,Male,24554
2014-2015,04,HARRIS COUNTY,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,OPEN ENROLLMENT CHARTER,Female,155
2014-2015,04,HARRIS COUNTY,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,OPEN ENROLLMENT CHARTER,Male,141
2014-2015,10,COLLIN COUNTY,ALLEN ISD,043901,TRADITIONAL ISD/CSD,Female,10010
2014-2015,10,COLLIN COUNTY,ALLEN ISD,043901,TRADITIONAL ISD/CSD,Male,10653
2014-2015,10,DALLAS COUNTY,ALPHA CHARTER SCHOOL,057832,OPEN ENROLLMENT CHARTER,Female,75
2014-2015,10,DALLAS COUNTY,ALPHA CHARTER SCHOOL,057832,OPEN ENROLLMENT CHARTER,Male,82
2014-2015,18,BREWSTER COUNTY,ALPINE ISD,022901,TRADITIONAL ISD/CSD,Female,479
2014-2015,18,BREWSTER COUNTY,ALPINE ISD,022901,TRADITIONAL ISD/CSD,Male,534
2014-2015,07,CHEROKEE COUNTY,ALTO ISD,037901,TRADITIONAL ISD/CSD,Female,312
2014-2015,07,CHEROKEE COUNTY,ALTO ISD,037901,TRADITIONAL ISD/CSD,Male,334
2014-2015,11,JOHNSON COUNTY,ALVARADO ISD,126901,TRADITIONAL ISD/CSD,Female,1604
2014-2015,11,JOHNSON COUNTY,ALVARADO ISD,126901,TRADITIONAL ISD/CSD,Male,1894
2014-2015,04,BRAZORIA COUNTY,ALVIN ISD,020901,TRADITIONAL ISD/CSD,Female,10091
2014-2015,04,BRAZORIA COUNTY,ALVIN ISD,020901,TRADITIONAL ISD/CSD,Male,10775
2014-2015,11,WISE COUNTY,ALVORD ISD,249901,TRADITIONAL ISD/CSD,Female,320
2014-2015,11,WISE COUNTY,ALVORD ISD,249901,TRADITIONAL ISD/CSD,Male,372
2014-2015,16,POTTER COUNTY,AMARILLO ISD,188901,TRADITIONAL ISD/CSD,Female,16392
2014-2015,16,POTTER COUNTY,AMARILLO ISD,188901,TRADITIONAL ISD/CSD,Male,17184
2014-2015,04,GALVESTON COUNTY,AMBASSADORS PREPARATORY ACADEMY,084804,OPEN ENROLLMENT CHARTER,Female,157
2014-2015,04,GALVESTON COUNTY,AMBASSADORS PREPARATORY ACADEMY,084804,OPEN ENROLLMENT CHARTER,Male,151
2014-2015,17,LAMB COUNTY,AMHERST ISD,140901,TRADITIONAL ISD/CSD,Female,69
2014-2015,17,LAMB COUNTY,AMHERST ISD,140901,TRADITIONAL ISD/CSD,Male,91
2014-2015,04,HARRIS COUNTY,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,OPEN ENROLLMENT CHARTER,Female,264
2014-2015,04,HARRIS COUNTY,AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,OPEN ENROLLMENT CHARTER,Male,236
2014-2015,04,CHAMBERS COUNTY,ANAHUAC ISD,036901,TRADITIONAL ISD/CSD,Female,606
2014-2015,04,CHAMBERS COUNTY,ANAHUAC ISD,036901,TRADITIONAL ISD/CSD,Male,616
2014-2015,06,GRIMES COUNTY,ANDERSON-SHIRO CISD,093901,TRADITIONAL ISD/CSD,Female,397
2014-2015,06,GRIMES COUNTY,ANDERSON-SHIRO CISD,093901,TRADITIONAL ISD/CSD,Male,426
2014-2015,18,ANDREWS COUNTY,ANDREWS ISD,002901,TRADITIONAL ISD/CSD,Female,1904
2014-2015,18,ANDREWS COUNTY,ANDREWS ISD,002901,TRADITIONAL ISD/CSD,Male,2111
2014-2015,04,BRAZORIA COUNTY,ANGLETON ISD,020902,TRADITIONAL ISD/CSD,Female,3248
2014-2015,04,BRAZORIA COUNTY,ANGLETON ISD,020902,TRADITIONAL ISD/CSD,Male,3486
2014-2015,10,COLLIN COUNTY,ANNA ISD,043902,TRADITIONAL ISD/CSD,Female,1361
2014-2015,10,COLLIN COUNTY,ANNA ISD,043902,TRADITIONAL ISD/CSD,Male,1513
2014-2015,14,JONES COUNTY,ANSON ISD,127901,TRADITIONAL ISD/CSD,Female,347
2014-2015,14,JONES COUNTY,ANSON ISD,127901,TRADITIONAL ISD/CSD,Male,367
2014-2015,19,EL PASO COUNTY,ANTHONY ISD,071906,TRADITIONAL ISD/CSD,Female,419
2014-2015,19,EL PASO COUNTY,ANTHONY ISD,071906,TRADITIONAL ISD/CSD,Male,453
2014-2015,17,HOCKLEY COUNTY,ANTON ISD,110901,TRADITIONAL ISD/CSD,Female,121
2014-2015,17,HOCKLEY COUNTY,ANTON ISD,110901,TRADITIONAL ISD/CSD,Male,122
2014-2015,06,TRINITY COUNTY,APPLE SPRINGS ISD,228905,TRADITIONAL ISD/CSD,Female,91
2014-2015,06,TRINITY COUNTY,APPLE SPRINGS ISD,228905,TRADITIONAL ISD/CSD,Male,111
2014-2015,12,HILL COUNTY,AQUILLA ISD,109912,TRADITIONAL ISD/CSD,Female,141
2014-2015,12,HILL COUNTY,AQUILLA ISD,109912,TRADITIONAL ISD/CSD,Male,134
2014-2015,02,ARANSAS COUNTY,ARANSAS COUNTY ISD,004901,TRADITIONAL ISD/CSD,Female,1558
2014-2015,02,ARANSAS COUNTY,ARANSAS COUNTY ISD,004901,TRADITIONAL ISD/CSD,Male,1696
2014-2015,02,SAN PATRICIO COUNTY,ARANSAS PASS ISD,205901,TRADITIONAL ISD/CSD,Female,925
2014-2015,02,SAN PATRICIO COUNTY,ARANSAS PASS ISD,205901,TRADITIONAL ISD/CSD,Male,924
2014-2015,09,ARCHER COUNTY,ARCHER CITY ISD,005901,TRADITIONAL ISD/CSD,Female,230
2014-2015,09,ARCHER COUNTY,ARCHER CITY ISD,005901,TRADITIONAL ISD/CSD,Male,255
2014-2015,11,DENTON COUNTY,ARGYLE ISD,061910,TRADITIONAL ISD/CSD,Female,924
2014-2015,11,DENTON COUNTY,ARGYLE ISD,061910,TRADITIONAL ISD/CSD,Male,1139
2014-2015,04,HARRIS COUNTY,ARISTOI CLASSICAL ACADEMY,101803,OPEN ENROLLMENT CHARTER,Female,278
2014-2015,04,HARRIS COUNTY,ARISTOI CLASSICAL ACADEMY,101803,OPEN ENROLLMENT CHARTER,Male,261
2014-2015,11,TARRANT COUNTY,ARLINGTON CLASSICS ACADEMY,220802,OPEN ENROLLMENT CHARTER,Female,735
2014-2015,11,TARRANT COUNTY,ARLINGTON CLASSICS ACADEMY,220802,OPEN ENROLLMENT CHARTER,Male,657
2014-2015,11,TARRANT COUNTY,ARLINGTON ISD,220901,TRADITIONAL ISD/CSD,Female,31012
2014-2015,11,TARRANT COUNTY,ARLINGTON ISD,220901,TRADITIONAL ISD/CSD,Male,32870
2014-2015,07,SMITH COUNTY,ARP ISD,212901,TRADITIONAL ISD/CSD,Female,403
2014-2015,07,SMITH COUNTY,ARP ISD,212901,TRADITIONAL ISD/CSD,Male,467
2014-2015,06,BRAZOS COUNTY,ARROW ACADEMY,021805,OPEN ENROLLMENT CHARTER,Female,417
2014-2015,06,BRAZOS COUNTY,ARROW ACADEMY,021805,OPEN ENROLLMENT CHARTER,Male,427
2014-2015,14,STONEWALL COUNTY,ASPERMONT ISD,217901,TRADITIONAL ISD/CSD,Female,137
2014-2015,14,STONEWALL COUNTY,ASPERMONT ISD,217901,TRADITIONAL ISD/CSD,Male,113
2014-2015,07,HENDERSON COUNTY,ATHENS ISD,107901,TRADITIONAL ISD/CSD,Female,1572
2014-2015,07,HENDERSON COUNTY,ATHENS ISD,107901,TRADITIONAL ISD/CSD,Male,1725
2014-2015,08,CASS COUNTY,ATLANTA ISD,034901,TRADITIONAL ISD/CSD,Female,885
2014-2015,08,CASS COUNTY,ATLANTA ISD,034901,TRADITIONAL ISD/CSD,Male,899
2014-2015,11,DENTON COUNTY,AUBREY ISD,061907,TRADITIONAL ISD/CSD,Female,1093
2014-2015,11,DENTON COUNTY,AUBREY ISD,061907,TRADITIONAL ISD/CSD,Male,1120
2014-2015,13,TRAVIS COUNTY,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,OPEN ENROLLMENT CHARTER,Female,193
2014-2015,13,TRAVIS COUNTY,AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,OPEN ENROLLMENT CHARTER,Male,218
2014-2015,13,TRAVIS COUNTY,AUSTIN DISCOVERY SCHOOL,227821,OPEN ENROLLMENT CHARTER,Female,213
2014-2015,13,TRAVIS COUNTY,AUSTIN DISCOVERY SCHOOL,227821,OPEN ENROLLMENT CHARTER,Male,278
2014-2015,13,TRAVIS COUNTY,AUSTIN ISD,227901,TRADITIONAL ISD/CSD,Female,41287
2014-2015,13,TRAVIS COUNTY,AUSTIN ISD,227901,TRADITIONAL ISD/CSD,Male,43277
2014-2015,03,REFUGIO COUNTY,AUSTWELL-TIVOLI ISD,196901,TRADITIONAL ISD/CSD,Female,85
2014-2015,03,REFUGIO COUNTY,AUSTWELL-TIVOLI ISD,196901,TRADITIONAL ISD/CSD,Male,78
2014-2015,10,ELLIS COUNTY,AVALON ISD,070901,TRADITIONAL ISD/CSD,Female,189
2014-2015,10,ELLIS COUNTY,AVALON ISD,070901,TRADITIONAL ISD/CSD,Male,183
2014-2015,08,RED RIVER COUNTY,AVERY ISD,194902,TRADITIONAL ISD/CSD,Female,173
2014-2015,08,RED RIVER COUNTY,AVERY ISD,194902,TRADITIONAL ISD/CSD,Male,193
2014-2015,08,CASS COUNTY,AVINGER ISD,034902,TRADITIONAL ISD/CSD,Female,81
2014-2015,08,CASS COUNTY,AVINGER ISD,034902,TRADITIONAL ISD/CSD,Male,86
2014-2015,12,MCLENNAN COUNTY,AXTELL ISD,161918,TRADITIONAL ISD/CSD,Female,385
2014-2015,12,MCLENNAN COUNTY,AXTELL ISD,161918,TRADITIONAL ISD/CSD,Male,397
2014-2015,11,TARRANT COUNTY,AZLE ISD,220915,TRADITIONAL ISD/CSD,Female,2980
2014-2015,11,TARRANT COUNTY,AZLE ISD,220915,TRADITIONAL ISD/CSD,Male,3176
2014-2015,14,CALLAHAN COUNTY,BAIRD ISD,030903,TRADITIONAL ISD/CSD,Female,136
2014-2015,14,CALLAHAN COUNTY,BAIRD ISD,030903,TRADITIONAL ISD/CSD,Male,186
2014-2015,15,RUNNELS COUNTY,BALLINGER ISD,200901,TRADITIONAL ISD/CSD,Female,465
2014-2015,15,RUNNELS COUNTY,BALLINGER ISD,200901,TRADITIONAL ISD/CSD,Male,499
2014-2015,18,REEVES COUNTY,BALMORHEA ISD,195902,TRADITIONAL ISD/CSD,Female,77
2014-2015,18,REEVES COUNTY,BALMORHEA ISD,195902,TRADITIONAL ISD/CSD,Male,84
2014-2015,20,BANDERA COUNTY,BANDERA ISD,010902,TRADITIONAL ISD/CSD,Female,1084
2014-2015,20,BANDERA COUNTY,BANDERA ISD,010902,TRADITIONAL ISD/CSD,Male,1196
2014-2015,15,BROWN COUNTY,BANGS ISD,025901,TRADITIONAL ISD/CSD,Female,470
2014-2015,15,BROWN COUNTY,BANGS ISD,025901,TRADITIONAL ISD/CSD,Male,552
2014-2015,02,NUECES COUNTY,BANQUETE ISD,178913,TRADITIONAL ISD/CSD,Female,441
2014-2015,02,NUECES COUNTY,BANQUETE ISD,178913,TRADITIONAL ISD/CSD,Male,471
2014-2015,04,CHAMBERS COUNTY,BARBERS HILL ISD,036902,TRADITIONAL ISD/CSD,Female,2312
2014-2015,04,CHAMBERS COUNTY,BARBERS HILL ISD,036902,TRADITIONAL ISD/CSD,Male,2591
2014-2015,13,BELL COUNTY,BARTLETT ISD,014902,TRADITIONAL ISD/CSD,Female,177
2014-2015,13,BELL COUNTY,BARTLETT ISD,014902,TRADITIONAL ISD/CSD,Male,218
2014-2015,20,BEXAR COUNTY,BASIS TEXAS,015834,OPEN ENROLLMENT CHARTER,Female,519
2014-2015,20,BEXAR COUNTY,BASIS TEXAS,015834,OPEN ENROLLMENT CHARTER,Male,533
2014-2015,13,BASTROP COUNTY,BASTROP ISD,011901,TRADITIONAL ISD/CSD,Female,4751
2014-2015,13,BASTROP COUNTY,BASTROP ISD,011901,TRADITIONAL ISD/CSD,Male,5177
2014-2015,04,HARRIS COUNTY,BAY AREA CHARTER INC,101809,OPEN ENROLLMENT CHARTER,Female,192
2014-2015,04,HARRIS COUNTY,BAY AREA CHARTER INC,101809,OPEN ENROLLMENT CHARTER,Male,227
2014-2015,03,MATAGORDA COUNTY,BAY CITY ISD,158901,TRADITIONAL ISD/CSD,Female,1805
2014-2015,03,MATAGORDA COUNTY,BAY CITY ISD,158901,TRADITIONAL ISD/CSD,Male,1930
2014-2015,04,HARRIS COUNTY,BEATRICE MAYES INSTITUTE CHARTER S,101847,OPEN ENROLLMENT CHARTER,Female,254
2014-2015,04,HARRIS COUNTY,BEATRICE MAYES INSTITUTE CHARTER S,101847,OPEN ENROLLMENT CHARTER,Male,218
2014-2015,05,JEFFERSON COUNTY,BEAUMONT ISD,123910,TRADITIONAL ISD/CSD,Female,9497
2014-2015,05,JEFFERSON COUNTY,BEAUMONT ISD,123910,TRADITIONAL ISD/CSD,Male,9956
2014-2015,07,PANOLA COUNTY,BECKVILLE ISD,183901,TRADITIONAL ISD/CSD,Female,346
2014-2015,07,PANOLA COUNTY,BECKVILLE ISD,183901,TRADITIONAL ISD/CSD,Male,358
2014-2015,02,BEE COUNTY,BEEVILLE ISD,013901,TRADITIONAL ISD/CSD,Female,1671
2014-2015,02,BEE COUNTY,BEEVILLE ISD,013901,TRADITIONAL ISD/CSD,Male,1760
2014-2015,09,CLAY COUNTY,BELLEVUE ISD,039904,TRADITIONAL ISD/CSD,Female,71
2014-2015,09,CLAY COUNTY,BELLEVUE ISD,039904,TRADITIONAL ISD/CSD,Male,76
2014-2015,10,GRAYSON COUNTY,BELLS ISD,091901,TRADITIONAL ISD/CSD,Female,374
2014-2015,10,GRAYSON COUNTY,BELLS ISD,091901,TRADITIONAL ISD/CSD,Male,378
2014-2015,06,AUSTIN COUNTY,BELLVILLE ISD,008901,TRADITIONAL ISD/CSD,Female,1032
2014-2015,06,AUSTIN COUNTY,BELLVILLE ISD,008901,TRADITIONAL ISD/CSD,Male,1133
2014-2015,12,BELL COUNTY,BELTON ISD,014903,TRADITIONAL ISD/CSD,Female,5148
2014-2015,12,BELL COUNTY,BELTON ISD,014903,TRADITIONAL ISD/CSD,Male,5394
2014-2015,02,JIM WELLS COUNTY,BEN BOLT-PALITO BLANCO ISD,125902,TRADITIONAL ISD/CSD,Female,282
2014-2015,02,JIM WELLS COUNTY,BEN BOLT-PALITO BLANCO ISD,125902,TRADITIONAL ISD/CSD,Male,344
2014-2015,02,DUVAL COUNTY,BENAVIDES ISD,066901,TRADITIONAL ISD/CSD,Female,175
2014-2015,02,DUVAL COUNTY,BENAVIDES ISD,066901,TRADITIONAL ISD/CSD,Male,196
2014-2015,09,KNOX COUNTY,BENJAMIN ISD,138904,TRADITIONAL ISD/CSD,Female,46
2014-2015,09,KNOX COUNTY,BENJAMIN ISD,138904,TRADITIONAL ISD/CSD,Male,50
2014-2015,20,BEXAR COUNTY,BEXAR COUNTY ACADEMY,015809,OPEN ENROLLMENT CHARTER,Female,229
2014-2015,20,BEXAR COUNTY,BEXAR COUNTY ACADEMY,015809,OPEN ENROLLMENT CHARTER,Male,203
2014-2015,06,POLK COUNTY,BIG SANDY ISD,187901,TRADITIONAL ISD/CSD,Female,243
2014-2015,07,UPSHUR COUNTY,BIG SANDY ISD,230901,TRADITIONAL ISD/CSD,Female,326
2014-2015,06,POLK COUNTY,BIG SANDY ISD,187901,TRADITIONAL ISD/CSD,Male,257
2014-2015,07,UPSHUR COUNTY,BIG SANDY ISD,230901,TRADITIONAL ISD/CSD,Male,353
2014-2015,18,HOWARD COUNTY,BIG SPRING ISD,114901,TRADITIONAL ISD/CSD,Female,2022
2014-2015,18,HOWARD COUNTY,BIG SPRING ISD,114901,TRADITIONAL ISD/CSD,Male,2233
2014-2015,20,REAL COUNTY,BIG SPRINGS CHARTER SCHOOL,193801,OPEN ENROLLMENT CHARTER,Female,118
2014-2015,20,REAL COUNTY,BIG SPRINGS CHARTER SCHOOL,193801,OPEN ENROLLMENT CHARTER,Male,114
2014-2015,11,TARRANT COUNTY,BIRDVILLE ISD,220902,TRADITIONAL ISD/CSD,Female,11798
2014-2015,11,TARRANT COUNTY,BIRDVILLE ISD,220902,TRADITIONAL ISD/CSD,Male,12591
2014-2015,02,NUECES COUNTY,BISHOP CISD,178902,TRADITIONAL ISD/CSD,Female,672
2014-2015,02,NUECES COUNTY,BISHOP CISD,178902,TRADITIONAL ISD/CSD,Male,682
2014-2015,14,NOLAN COUNTY,BLACKWELL CISD,177903,TRADITIONAL ISD/CSD,Female,62
2014-2015,14,NOLAN COUNTY,BLACKWELL CISD,177903,TRADITIONAL ISD/CSD,Male,69
2014-2015,13,BLANCO COUNTY,BLANCO ISD,016902,TRADITIONAL ISD/CSD,Female,467
2014-2015,13,BLANCO COUNTY,BLANCO ISD,016902,TRADITIONAL ISD/CSD,Male,531
2014-2015,10,HUNT COUNTY,BLAND ISD,116915,TRADITIONAL ISD/CSD,Female,288
2014-2015,10,HUNT COUNTY,BLAND ISD,116915,TRADITIONAL ISD/CSD,Male,296
2014-2015,15,BROWN COUNTY,BLANKET ISD,025904,TRADITIONAL ISD/CSD,Female,102
2014-2015,15,BROWN COUNTY,BLANKET ISD,025904,TRADITIONAL ISD/CSD,Male,108
2014-2015,08,CASS COUNTY,BLOOMBURG ISD,034909,TRADITIONAL ISD/CSD,Female,150
2014-2015,08,CASS COUNTY,BLOOMBURG ISD,034909,TRADITIONAL ISD/CSD,Male,126
2014-2015,12,NAVARRO COUNTY,BLOOMING GROVE ISD,175902,TRADITIONAL ISD/CSD,Female,419
2014-2015,12,NAVARRO COUNTY,BLOOMING GROVE ISD,175902,TRADITIONAL ISD/CSD,Male,450
2014-2015,03,VICTORIA COUNTY,BLOOMINGTON ISD,235901,TRADITIONAL ISD/CSD,Female,471
2014-2015,03,VICTORIA COUNTY,BLOOMINGTON ISD,235901,TRADITIONAL ISD/CSD,Male,451
2014-2015,10,COLLIN COUNTY,BLUE RIDGE ISD,043917,TRADITIONAL ISD/CSD,Female,347
2014-2015,10,COLLIN COUNTY,BLUE RIDGE ISD,043917,TRADITIONAL ISD/CSD,Male,372
2014-2015,11,ERATH COUNTY,BLUFF DALE ISD,072904,TRADITIONAL ISD/CSD,Female,56
2014-2015,11,ERATH COUNTY,BLUFF DALE ISD,072904,TRADITIONAL ISD/CSD,Male,51
2014-2015,12,HILL COUNTY,BLUM ISD,109913,TRADITIONAL ISD/CSD,Female,178
2014-2015,12,HILL COUNTY,BLUM ISD,109913,TRADITIONAL ISD/CSD,Male,197
2014-2015,05,JEFFERSON COUNTY,BOB HOPE SCHOOL,123807,OPEN ENROLLMENT CHARTER,Female,236
2014-2015,05,JEFFERSON COUNTY,BOB HOPE SCHOOL,123807,OPEN ENROLLMENT CHARTER,Male,211
2014-2015,20,KENDALL COUNTY,BOERNE ISD,130901,TRADITIONAL ISD/CSD,Female,3590
2014-2015,20,KENDALL COUNTY,BOERNE ISD,130901,TRADITIONAL ISD/CSD,Male,3903
2014-2015,10,HUNT COUNTY,BOLES ISD,116916,TRADITIONAL ISD/CSD,Female,261
2014-2015,10,HUNT COUNTY,BOLES ISD,116916,TRADITIONAL ISD/CSD,Male,244
2014-2015,03,WHARTON COUNTY,BOLING ISD,241901,TRADITIONAL ISD/CSD,Female,548
2014-2015,03,WHARTON COUNTY,BOLING ISD,241901,TRADITIONAL ISD/CSD,Male,569
2014-2015,10,FANNIN COUNTY,BONHAM ISD,074903,TRADITIONAL ISD/CSD,Female,908
2014-2015,10,FANNIN COUNTY,BONHAM ISD,074903,TRADITIONAL ISD/CSD,Male,1004
2014-2015,16,LIPSCOMB COUNTY,BOOKER ISD,148901,TRADITIONAL ISD/CSD,Female,206
2014-2015,16,LIPSCOMB COUNTY,BOOKER ISD,148901,TRADITIONAL ISD/CSD,Male,214
2014-2015,17,BORDEN COUNTY,BORDEN COUNTY ISD,017901,TRADITIONAL ISD/CSD,Female,122
2014-2015,17,BORDEN COUNTY,BORDEN COUNTY ISD,017901,TRADITIONAL ISD/CSD,Male,127
2014-2015,16,HUTCHINSON COUNTY,BORGER ISD,117901,TRADITIONAL ISD/CSD,Female,1368
2014-2015,16,HUTCHINSON COUNTY,BORGER ISD,117901,TRADITIONAL ISD/CSD,Male,1373
2014-2015,12,MCLENNAN COUNTY,BOSQUEVILLE ISD,161923,TRADITIONAL ISD/CSD,Female,299
2014-2015,12,MCLENNAN COUNTY,BOSQUEVILLE ISD,161923,TRADITIONAL ISD/CSD,Male,326
2014-2015,16,PARMER COUNTY,BOVINA ISD,185901,TRADITIONAL ISD/CSD,Female,237
2014-2015,16,PARMER COUNTY,BOVINA ISD,185901,TRADITIONAL ISD/CSD,Male,248
2014-2015,09,MONTAGUE COUNTY,BOWIE ISD,169901,TRADITIONAL ISD/CSD,Female,836
2014-2015,09,MONTAGUE COUNTY,BOWIE ISD,169901,TRADITIONAL ISD/CSD,Male,871
2014-2015,11,WISE COUNTY,BOYD ISD,249902,TRADITIONAL ISD/CSD,Female,546
2014-2015,11,WISE COUNTY,BOYD ISD,249902,TRADITIONAL ISD/CSD,Male,608
2014-2015,16,OLDHAM COUNTY,BOYS RANCH ISD,180901,TRADITIONAL ISD/CSD,Female,105
2014-2015,16,OLDHAM COUNTY,BOYS RANCH ISD,180901,TRADITIONAL ISD/CSD,Male,176
2014-2015,20,KINNEY COUNTY,BRACKETT ISD,136901,TRADITIONAL ISD/CSD,Female,306
2014-2015,20,KINNEY COUNTY,BRACKETT ISD,136901,TRADITIONAL ISD/CSD,Male,335
2014-2015,15,MCCULLOCH COUNTY,BRADY ISD,160901,TRADITIONAL ISD/CSD,Female,558
2014-2015,15,MCCULLOCH COUNTY,BRADY ISD,160901,TRADITIONAL ISD/CSD,Male,684
2014-2015,06,AUSTIN COUNTY,BRAZOS ISD,008903,TRADITIONAL ISD/CSD,Female,424
2014-2015,06,AUSTIN COUNTY,BRAZOS ISD,008903,TRADITIONAL ISD/CSD,Male,412
2014-2015,11,SOMERVELL COUNTY,BRAZOS RIVER CHARTER SCHOOL,213801,OPEN ENROLLMENT CHARTER,Female,121
2014-2015,11,SOMERVELL COUNTY,BRAZOS RIVER CHARTER SCHOOL,213801,OPEN ENROLLMENT CHARTER,Male,125
2014-2015,06,BRAZOS COUNTY,BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,OPEN ENROLLMENT CHARTER,Female,215
