T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2022-2023,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2022-2023,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Female,2276
2022-2023,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Male,2486
2022-2023,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Female,375
2022-2023,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Male,448
2022-2023,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Female,230
2022-2023,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Male,268
2022-2023,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Female,29609
2022-2023,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Male,30465
2022-2023,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Female,3762
2022-2023,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Male,4095
2022-2023,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Female,2195
2022-2023,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Male,2311
2022-2023,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Female,19267
2022-2023,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Male,21062
2022-2023,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Female,197
2022-2023,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Male,173
2022-2023,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Female,10650
2022-2023,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Male,11119
2022-2023,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Female,465
2022-2023,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Male,489
2022-2023,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Female,270
2022-2023,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Male,266
2022-2023,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Female,1754
2022-2023,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Male,1996
2022-2023,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Female,14200
2022-2023,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Male,14988
2022-2023,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Female,374
2022-2023,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Male,447
2022-2023,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Female,14847
2022-2023,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Male,15495
2022-2023,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Female,101
2022-2023,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Male,69
2022-2023,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Female,56
2022-2023,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Male,64
2022-2023,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Female,291
2022-2023,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Male,276
2022-2023,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Female,689
2022-2023,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Male,804
2022-2023,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Female,456
2022-2023,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Male,478
2022-2023,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Female,2034
2022-2023,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Male,2164
2022-2023,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Female,3325
2022-2023,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Male,3600
2022-2023,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Female,2370
2022-2023,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Male,2648
2022-2023,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Female,351
2022-2023,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Male,401
2022-2023,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Female,363
2022-2023,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Male,418
2022-2023,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Female,88
2022-2023,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Male,82
2022-2023,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Female,108
2022-2023,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Male,99
2022-2023,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Female,167
2022-2023,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Male,156
2022-2023,02,ARANSAS COUNTY,004901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,Female,1465
2022-2023,02,ARANSAS COUNTY,004901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,Male,1579
2022-2023,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Female,847
2022-2023,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Male,853
2022-2023,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Female,243
2022-2023,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Male,250
2022-2023,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Female,2342
2022-2023,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Male,2624
2022-2023,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Female,701
2022-2023,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Male,615
2022-2023,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Female,766
2022-2023,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Male,746
2022-2023,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Female,27257
2022-2023,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Male,28910
2022-2023,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Female,472
2022-2023,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Male,513
2022-2023,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Female,354
2022-2023,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Male,321
2022-2023,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Female,91
2022-2023,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Male,108
2022-2023,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Female,1449
2022-2023,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Male,1650
2022-2023,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Female,928
2022-2023,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Male,951
2022-2023,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Female,1734
2022-2023,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Male,1804
2022-2023,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Female,1232
2022-2023,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Male,1217
2022-2023,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Female,166
2022-2023,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Male,166
2022-2023,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Female,35888
2022-2023,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Male,37496
2022-2023,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Female,78
2022-2023,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Male,66
2022-2023,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Female,171
2022-2023,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Male,166
2022-2023,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Female,165
2022-2023,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Male,170
2022-2023,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Female,59
2022-2023,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Male,64
2022-2023,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Female,396
2022-2023,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Male,440
2022-2023,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Female,3388
2022-2023,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Male,3701
2022-2023,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Female,148
2022-2023,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Male,164
2022-2023,04,HARRIS COUNTY,101853,BAKERRIPLEY COMMUNITY SCHOOLS,OPEN ENROLLMENT CHARTER,Female,866
2022-2023,04,HARRIS COUNTY,101853,BAKERRIPLEY COMMUNITY SCHOOLS,OPEN ENROLLMENT CHARTER,Male,924
2022-2023,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Female,357
2022-2023,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Male,460
2022-2023,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Female,71
2022-2023,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Male,73
2022-2023,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Female,1163
2022-2023,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Male,1218
2022-2023,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Female,405
2022-2023,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Male,457
2022-2023,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Female,402
2022-2023,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Male,441
2022-2023,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Female,3625
2022-2023,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Male,3714
2022-2023,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Female,206
2022-2023,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Male,255
2022-2023,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Female,2432
2022-2023,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Male,2540
2022-2023,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Female,6039
2022-2023,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Male,6467
2022-2023,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Female,1725
2022-2023,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Male,1854
2022-2023,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,280
2022-2023,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,217
2022-2023,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Female,8275
2022-2023,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Male,8455
2022-2023,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Female,331
2022-2023,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Male,355
2022-2023,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Female,1480
2022-2023,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Male,1617
2022-2023,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Female,81
2022-2023,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Male,86
2022-2023,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Female,471
2022-2023,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Male,492
2022-2023,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Female,1089
2022-2023,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Male,1162
2022-2023,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Female,6735
2022-2023,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Male,6909
2022-2023,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Female,237
2022-2023,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Male,257
2022-2023,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Female,164
2022-2023,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Male,189
2022-2023,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Female,63
2022-2023,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Male,67
2022-2023,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Female,752
2022-2023,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Male,680
2022-2023,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Female,72
2022-2023,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Male,103
2022-2023,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Female,125
2022-2023,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Male,113
2022-2023,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,255
2022-2023,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,319
2022-2023,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,257
2022-2023,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,352
2022-2023,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Female,1698
2022-2023,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Male,1812
2022-2023,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,91
2022-2023,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,120
2022-2023,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Female,10943
2022-2023,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Male,11694
2022-2023,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Female,678
2022-2023,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Male,732
2022-2023,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Female,75
2022-2023,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Male,77
2022-2023,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Female,528
2022-2023,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Male,560
2022-2023,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Female,389
2022-2023,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Male,384
2022-2023,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Female,64
2022-2023,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Male,78
2022-2023,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,163
2022-2023,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,176
2022-2023,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Female,130
2022-2023,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Male,126
2022-2023,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Female,445
2022-2023,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Male,475
2022-2023,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Female,433
2022-2023,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Male,457
2022-2023,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Female,516
2022-2023,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Male,493
2022-2023,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Female,116
2022-2023,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Male,126
2022-2023,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Female,171
2022-2023,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Male,167
2022-2023,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Female,1236
2022-2023,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Male,1077
2022-2023,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Female,5268
2022-2023,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Male,5495
2022-2023,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Female,262
2022-2023,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Male,285
2022-2023,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Female,577
2022-2023,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Male,569
2022-2023,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Female,865
2022-2023,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Male,1034
2022-2023,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Female,171
2022-2023,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Male,172
2022-2023,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Female,107
2022-2023,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Male,118
2022-2023,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Female,1224
2022-2023,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Male,1253
2022-2023,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Female,368
2022-2023,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Male,352
2022-2023,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Female,197
2022-2023,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Male,228
2022-2023,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Female,795
2022-2023,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Male,849
2022-2023,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Female,597
2022-2023,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Male,669
2022-2023,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Female,56
2022-2023,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Male,108
2022-2023,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Female,264
2022-2023,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Male,288
2022-2023,15,MCCULLOCH COUNTY,160901,BRADY ISD,TRADITIONAL ISD/CSD,Female,449
