T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2021-2022,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2021-2022,02,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Male,200
2021-2022,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Female,2289
2021-2022,20,BEXAR COUNTY,015901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Male,2535
2021-2022,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Female,391
2021-2022,07,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Male,470
2021-2022,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Female,245
2021-2022,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Male,265
2021-2022,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Female,30202
2021-2022,04,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Male,31431
2021-2022,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Female,3500
2021-2022,11,PARKER COUNTY,184907,ALEDO ISD,TRADITIONAL ISD/CSD,Male,3868
2021-2022,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Female,2114
2021-2022,02,JIM WELLS COUNTY,125901,ALICE ISD,TRADITIONAL ISD/CSD,Male,2255
2021-2022,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Female,19503
2021-2022,04,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,Male,21161
2021-2022,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Female,184
2021-2022,04,HARRIS COUNTY,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,Male,165
2021-2022,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Female,10476
2021-2022,10,COLLIN COUNTY,043901,ALLEN ISD,TRADITIONAL ISD/CSD,Male,10987
2021-2022,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Female,489
2021-2022,18,BREWSTER COUNTY,022901,ALPINE ISD,TRADITIONAL ISD/CSD,Male,485
2021-2022,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Female,269
2021-2022,07,CHEROKEE COUNTY,037901,ALTO ISD,TRADITIONAL ISD/CSD,Male,287
2021-2022,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Female,1701
2021-2022,11,JOHNSON COUNTY,126901,ALVARADO ISD,TRADITIONAL ISD/CSD,Male,1909
2021-2022,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Female,13671
2021-2022,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Male,14414
2021-2022,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Female,379
2021-2022,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Male,410
2021-2022,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Female,15083
2021-2022,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Male,15783
2021-2022,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Female,111
2021-2022,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Male,79
2021-2022,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Female,60
2021-2022,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Male,68
2021-2022,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Female,277
2021-2022,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Male,283
2021-2022,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Female,665
2021-2022,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Male,732
2021-2022,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Female,431
2021-2022,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Male,456
2021-2022,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Female,2028
2021-2022,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Male,2119
2021-2022,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Female,3236
2021-2022,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Male,3546
2021-2022,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Female,2134
2021-2022,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Male,2313
2021-2022,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Female,341
2021-2022,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Male,399
2021-2022,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Female,374
2021-2022,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Male,424
2021-2022,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Female,86
2021-2022,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Male,96
2021-2022,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Female,104
2021-2022,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Male,101
2021-2022,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Female,155
2021-2022,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Male,180
2021-2022,02,ARANSAS COUNTY,004901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,Female,1437
2021-2022,02,ARANSAS COUNTY,004901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,Male,1568
2021-2022,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Female,824
2021-2022,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Male,852
2021-2022,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Female,253
2021-2022,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Male,255
2021-2022,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Female,2063
2021-2022,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Male,2275
2021-2022,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Female,638
2021-2022,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Male,581
2021-2022,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Female,795
2021-2022,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Male,731
2021-2022,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Female,27431
2021-2022,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Male,28880
2021-2022,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Female,450
2021-2022,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Male,474
2021-2022,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Female,294
2021-2022,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Male,315
2021-2022,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Female,90
2021-2022,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Male,95
2021-2022,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Female,1401
2021-2022,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Male,1565
2021-2022,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Female,933
2021-2022,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Male,978
2021-2022,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Female,1528
2021-2022,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Male,1584
2021-2022,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Female,1162
2021-2022,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Male,1150
2021-2022,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Female,216
2021-2022,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Male,214
2021-2022,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Female,36389
2021-2022,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Male,38213
2021-2022,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Female,64
2021-2022,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Male,67
2021-2022,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Female,177
2021-2022,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Male,163
2021-2022,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Female,183
2021-2022,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Male,176
2021-2022,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Female,55
2021-2022,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Male,82
2021-2022,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Female,371
2021-2022,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Male,387
2021-2022,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Female,3272
2021-2022,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Male,3617
2021-2022,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Female,132
2021-2022,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Male,161
2021-2022,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Female,378
2021-2022,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Male,461
2021-2022,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Female,73
2021-2022,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Male,75
2021-2022,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Female,1105
2021-2022,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Male,1199
2021-2022,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Female,412
2021-2022,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Male,459
2021-2022,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Female,426
2021-2022,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Male,433
2021-2022,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Female,3363
2021-2022,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Male,3455
2021-2022,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Female,173
2021-2022,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Male,222
2021-2022,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Female,1676
2021-2022,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Male,1745
2021-2022,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Female,5808
2021-2022,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Male,6186
2021-2022,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Female,1697
2021-2022,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Male,1813
2021-2022,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,260
2021-2022,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,202
2021-2022,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Female,8317
2021-2022,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Male,8452
2021-2022,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Female,336
2021-2022,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Male,350
2021-2022,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Female,1450
2021-2022,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Male,1560
2021-2022,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Female,72
2021-2022,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Male,79
2021-2022,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Female,425
2021-2022,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Male,460
2021-2022,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Female,1080
2021-2022,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Male,1118
2021-2022,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Female,6543
2021-2022,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Male,6783
2021-2022,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Female,241
2021-2022,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Male,256
2021-2022,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Female,115
2021-2022,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Male,118
2021-2022,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Female,68
2021-2022,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Male,65
2021-2022,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Female,691
2021-2022,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Male,607
2021-2022,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Female,78
2021-2022,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Male,107
2021-2022,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Female,134
2021-2022,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Male,127
2021-2022,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,266
2021-2022,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,311
2021-2022,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,266
2021-2022,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,348
2021-2022,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Female,1757
2021-2022,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Male,1877
2021-2022,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,88
2021-2022,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,115
2021-2022,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Female,10845
2021-2022,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Male,11660
2021-2022,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Female,700
2021-2022,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Male,760
2021-2022,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Female,74
2021-2022,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Male,81
2021-2022,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Female,512
2021-2022,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Male,551
2021-2022,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Female,386
2021-2022,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Male,375
2021-2022,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Female,69
2021-2022,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Male,78
2021-2022,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,90
2021-2022,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,103
2021-2022,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Female,123
2021-2022,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Male,118
2021-2022,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Female,426
2021-2022,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Male,477
2021-2022,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Female,399
2021-2022,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Male,428
2021-2022,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Female,479
2021-2022,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Male,482
2021-2022,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Female,105
2021-2022,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Male,123
2021-2022,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Female,173
2021-2022,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Male,171
2021-2022,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Female,1249
2021-2022,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Male,1113
2021-2022,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Female,5060
2021-2022,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Male,5267
2021-2022,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Female,253
2021-2022,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Male,276
2021-2022,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Female,568
2021-2022,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Male,573
2021-2022,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Female,899
2021-2022,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Male,988
2021-2022,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Female,180
2021-2022,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Male,177
2021-2022,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Female,115
2021-2022,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Male,130
2021-2022,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Female,1236
2021-2022,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Male,1264
2021-2022,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Female,364
2021-2022,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Male,338
2021-2022,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Female,211
2021-2022,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Male,247
2021-2022,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Female,821
2021-2022,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Male,868
2021-2022,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Female,576
2021-2022,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Male,656
2021-2022,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Female,69
2021-2022,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Male,109
2021-2022,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Female,252
2021-2022,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Male,280
2021-2022,15,MCCULLOCH COUNTY,160901,BRADY ISD,TRADITIONAL ISD/CSD,Female,446
2021-2022,15,MCCULLOCH COUNTY,160901,BRADY ISD,TRADITIONAL ISD/CSD,Male,520
2021-2022,06,AUSTIN COUNTY,008903,BRAZOS ISD,TRADITIONAL ISD/CSD,Female,363
2021-2022,06,AUSTIN COUNTY,008903,BRAZOS ISD,TRADITIONAL ISD/CSD,Male,405
