T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,CHARTER STATUS,GENDER,ENROLLMENT
2023-2024,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Female,14519
2023-2024,04,BRAZORIA COUNTY,020901,ALVIN ISD,TRADITIONAL ISD/CSD,Male,15221
2023-2024,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Female,395
2023-2024,11,WISE COUNTY,249901,ALVORD ISD,TRADITIONAL ISD/CSD,Male,455
2023-2024,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Female,14455
2023-2024,16,POTTER COUNTY,188901,AMARILLO ISD,TRADITIONAL ISD/CSD,Male,15274
2023-2024,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Female,96
2023-2024,04,GALVESTON COUNTY,084804,AMBASSADORS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,Male,66
2023-2024,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Female,54
2023-2024,17,LAMB COUNTY,140901,AMHERST ISD,TRADITIONAL ISD/CSD,Male,60
2023-2024,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Female,346
2023-2024,04,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,OPEN ENROLLMENT CHARTER,Male,348
2023-2024,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Female,732
2023-2024,04,CHAMBERS COUNTY,036901,ANAHUAC ISD,TRADITIONAL ISD/CSD,Male,815
2023-2024,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Female,469
2023-2024,06,GRIMES COUNTY,093901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,Male,497
2023-2024,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Female,2096
2023-2024,18,ANDREWS COUNTY,002901,ANDREWS ISD,TRADITIONAL ISD/CSD,Male,2173
2023-2024,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Female,3405
2023-2024,04,BRAZORIA COUNTY,020902,ANGLETON ISD,TRADITIONAL ISD/CSD,Male,3663
2023-2024,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Female,2579
2023-2024,10,COLLIN COUNTY,043902,ANNA ISD,TRADITIONAL ISD/CSD,Male,2891
2023-2024,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Female,346
2023-2024,14,JONES COUNTY,127901,ANSON ISD,TRADITIONAL ISD/CSD,Male,387
2023-2024,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Female,348
2023-2024,19,EL PASO COUNTY,071906,ANTHONY ISD,TRADITIONAL ISD/CSD,Male,404
2023-2024,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Female,86
2023-2024,17,HOCKLEY COUNTY,110901,ANTON ISD,TRADITIONAL ISD/CSD,Male,84
2023-2024,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Female,114
2023-2024,06,TRINITY COUNTY,228905,APPLE SPRINGS ISD,TRADITIONAL ISD/CSD,Male,93
2023-2024,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Female,148
2023-2024,12,HILL COUNTY,109912,AQUILLA ISD,TRADITIONAL ISD/CSD,Male,173
2023-2024,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Female,855
2023-2024,02,SAN PATRICIO COUNTY,205901,ARANSAS PASS ISD,TRADITIONAL ISD/CSD,Male,876
2023-2024,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Female,248
2023-2024,09,ARCHER COUNTY,005901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,Male,253
2023-2024,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Female,2557
2023-2024,11,DENTON COUNTY,061910,ARGYLE ISD,TRADITIONAL ISD/CSD,Male,2857
2023-2024,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Female,815
2023-2024,04,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,Male,720
2023-2024,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Female,748
2023-2024,11,TARRANT COUNTY,220802,ARLINGTON CLASSICS ACADEMY,OPEN ENROLLMENT CHARTER,Male,746
2023-2024,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Female,26694
2023-2024,11,TARRANT COUNTY,220901,ARLINGTON ISD,TRADITIONAL ISD/CSD,Male,28056
2023-2024,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Female,469
2023-2024,07,SMITH COUNTY,212901,ARP ISD,TRADITIONAL ISD/CSD,Male,533
2023-2024,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Female,310
2023-2024,06,BRAZOS COUNTY,021805,ARROW ACADEMY,OPEN ENROLLMENT CHARTER,Male,284
2023-2024,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Female,99
2023-2024,14,STONEWALL COUNTY,217901,ASPERMONT ISD,TRADITIONAL ISD/CSD,Male,93
2023-2024,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Female,1417
2023-2024,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,Male,1591
2023-2024,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Female,933
2023-2024,08,CASS COUNTY,034901,ATLANTA ISD,TRADITIONAL ISD/CSD,Male,993
2023-2024,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Female,1944
2023-2024,11,DENTON COUNTY,061907,AUBREY ISD,TRADITIONAL ISD/CSD,Male,2056
2023-2024,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Female,1327
2023-2024,13,TRAVIS COUNTY,227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,Male,1320
2023-2024,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Female,122
2023-2024,13,TRAVIS COUNTY,227821,AUSTIN DISCOVERY SCHOOL,OPEN ENROLLMENT CHARTER,Male,139
2023-2024,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Female,35518
2023-2024,13,TRAVIS COUNTY,227901,AUSTIN ISD,TRADITIONAL ISD/CSD,Male,37312
2023-2024,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Female,71
2023-2024,03,REFUGIO COUNTY,196901,AUSTWELL-TIVOLI ISD,TRADITIONAL ISD/CSD,Male,68
2023-2024,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Female,178
2023-2024,10,ELLIS COUNTY,070901,AVALON ISD,TRADITIONAL ISD/CSD,Male,171
2023-2024,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Female,156
2023-2024,08,RED RIVER COUNTY,194902,AVERY ISD,TRADITIONAL ISD/CSD,Male,164
2023-2024,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Female,54
2023-2024,08,CASS COUNTY,034902,AVINGER ISD,TRADITIONAL ISD/CSD,Male,63
2023-2024,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Female,395
2023-2024,12,MCLENNAN COUNTY,161918,AXTELL ISD,TRADITIONAL ISD/CSD,Male,450
2023-2024,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Female,3476
2023-2024,11,TARRANT COUNTY,220915,AZLE ISD,TRADITIONAL ISD/CSD,Male,3742
2023-2024,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Female,178
2023-2024,14,CALLAHAN COUNTY,030903,BAIRD ISD,TRADITIONAL ISD/CSD,Male,180
2023-2024,04,HARRIS COUNTY,101853,BAKERRIPLEY COMMUNITY SCHOOLS,OPEN ENROLLMENT CHARTER,Female,892
2023-2024,04,HARRIS COUNTY,101853,BAKERRIPLEY COMMUNITY SCHOOLS,OPEN ENROLLMENT CHARTER,Male,932
2023-2024,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Female,349
2023-2024,15,RUNNELS COUNTY,200901,BALLINGER ISD,TRADITIONAL ISD/CSD,Male,450
2023-2024,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Female,72
2023-2024,18,REEVES COUNTY,195902,BALMORHEA ISD,TRADITIONAL ISD/CSD,Male,73
2023-2024,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Female,1141
2023-2024,20,BANDERA COUNTY,010902,BANDERA ISD,TRADITIONAL ISD/CSD,Male,1197
2023-2024,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Female,387
2023-2024,15,BROWN COUNTY,025901,BANGS ISD,TRADITIONAL ISD/CSD,Male,430
2023-2024,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Female,386
2023-2024,02,NUECES COUNTY,178913,BANQUETE ISD,TRADITIONAL ISD/CSD,Male,435
2023-2024,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Female,3821
2023-2024,04,CHAMBERS COUNTY,036902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,Male,3902
2023-2024,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Female,194
2023-2024,13,BELL COUNTY,014902,BARTLETT ISD,TRADITIONAL ISD/CSD,Male,245
2023-2024,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Female,3065
2023-2024,20,BEXAR COUNTY,015834,BASIS TEXAS,OPEN ENROLLMENT CHARTER,Male,3201
2023-2024,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Female,6318
2023-2024,13,BASTROP COUNTY,011901,BASTROP ISD,TRADITIONAL ISD/CSD,Male,6692
2023-2024,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Female,1669
2023-2024,03,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,Male,1845
2023-2024,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,237
2023-2024,04,HARRIS COUNTY,101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,221
2023-2024,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Female,8328
2023-2024,05,JEFFERSON COUNTY,123910,BEAUMONT ISD,TRADITIONAL ISD/CSD,Male,8475
2023-2024,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Female,340
2023-2024,07,PANOLA COUNTY,183901,BECKVILLE ISD,TRADITIONAL ISD/CSD,Male,360
2023-2024,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Female,1472
2023-2024,02,BEE COUNTY,013901,BEEVILLE ISD,TRADITIONAL ISD/CSD,Male,1629
2023-2024,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Female,92
2023-2024,09,CLAY COUNTY,039904,BELLEVUE ISD,TRADITIONAL ISD/CSD,Male,89
2023-2024,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Female,480
2023-2024,10,GRAYSON COUNTY,091901,BELLS ISD,TRADITIONAL ISD/CSD,Male,506
2023-2024,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Female,1111
2023-2024,06,AUSTIN COUNTY,008901,BELLVILLE ISD,TRADITIONAL ISD/CSD,Male,1172
2023-2024,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Female,6807
2023-2024,12,BELL COUNTY,014903,BELTON ISD,TRADITIONAL ISD/CSD,Male,7001
2023-2024,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Female,218
2023-2024,02,JIM WELLS COUNTY,125902,BEN BOLT-PALITO BLANCO ISD,TRADITIONAL ISD/CSD,Male,237
2023-2024,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Female,206
2023-2024,02,DUVAL COUNTY,066901,BENAVIDES ISD,TRADITIONAL ISD/CSD,Male,239
2023-2024,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Female,45
2023-2024,09,KNOX COUNTY,138904,BENJAMIN ISD,TRADITIONAL ISD/CSD,Male,59
2023-2024,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Female,764
2023-2024,04,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,Male,722
2023-2024,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Female,74
2023-2024,17,LUBBOCK COUNTY,152806,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,OPEN ENROLLMENT CHARTER,Male,100
2023-2024,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Female,105
2023-2024,20,BEXAR COUNTY,015809,BEXAR COUNTY ACADEMY,OPEN ENROLLMENT CHARTER,Male,93
2023-2024,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,259
2023-2024,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Female,328
2023-2024,06,POLK COUNTY,187901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,265
2023-2024,07,UPSHUR COUNTY,230901,BIG SANDY ISD,TRADITIONAL ISD/CSD,Male,345
2023-2024,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Female,1678
2023-2024,18,HOWARD COUNTY,114901,BIG SPRING ISD,TRADITIONAL ISD/CSD,Male,1773
2023-2024,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,79
2023-2024,20,REAL COUNTY,193801,BIG SPRINGS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,106
2023-2024,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Female,10730
2023-2024,11,TARRANT COUNTY,220902,BIRDVILLE ISD,TRADITIONAL ISD/CSD,Male,11489
2023-2024,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Female,670
2023-2024,02,NUECES COUNTY,178902,BISHOP CISD,TRADITIONAL ISD/CSD,Male,692
2023-2024,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Female,92
2023-2024,14,NOLAN COUNTY,177903,BLACKWELL CISD,TRADITIONAL ISD/CSD,Male,78
2023-2024,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Female,540
2023-2024,13,BLANCO COUNTY,016902,BLANCO ISD,TRADITIONAL ISD/CSD,Male,565
2023-2024,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Female,390
2023-2024,10,HUNT COUNTY,116915,BLAND ISD,TRADITIONAL ISD/CSD,Male,404
2023-2024,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Female,54
2023-2024,15,BROWN COUNTY,025904,BLANKET ISD,TRADITIONAL ISD/CSD,Male,86
2023-2024,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Female,184
2023-2024,04,HARRIS COUNTY,101875,BLOOM ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Male,216
2023-2024,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Female,122
2023-2024,08,CASS COUNTY,034909,BLOOMBURG ISD,TRADITIONAL ISD/CSD,Male,121
2023-2024,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Female,463
2023-2024,12,NAVARRO COUNTY,175902,BLOOMING GROVE ISD,TRADITIONAL ISD/CSD,Male,493
2023-2024,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Female,420
2023-2024,03,VICTORIA COUNTY,235901,BLOOMINGTON ISD,TRADITIONAL ISD/CSD,Male,486
2023-2024,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Female,526
2023-2024,10,COLLIN COUNTY,043917,BLUE RIDGE ISD,TRADITIONAL ISD/CSD,Male,504
2023-2024,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Female,115
2023-2024,11,ERATH COUNTY,072904,BLUFF DALE ISD,TRADITIONAL ISD/CSD,Male,106
2023-2024,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Female,176
2023-2024,12,HILL COUNTY,109913,BLUM ISD,TRADITIONAL ISD/CSD,Male,155
2023-2024,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Female,1331
2023-2024,05,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,Male,1178
2023-2024,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Female,5325
2023-2024,20,KENDALL COUNTY,130901,BOERNE ISD,TRADITIONAL ISD/CSD,Male,5585
2023-2024,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Female,269
2023-2024,10,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,Male,283
2023-2024,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Female,571
2023-2024,03,WHARTON COUNTY,241901,BOLING ISD,TRADITIONAL ISD/CSD,Male,574
2023-2024,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Female,923
2023-2024,10,FANNIN COUNTY,074903,BONHAM ISD,TRADITIONAL ISD/CSD,Male,1051
2023-2024,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Female,162
2023-2024,16,LIPSCOMB COUNTY,148901,BOOKER ISD,TRADITIONAL ISD/CSD,Male,170
2023-2024,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Female,122
2023-2024,17,BORDEN COUNTY,017901,BORDEN COUNTY ISD,TRADITIONAL ISD/CSD,Male,120
2023-2024,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Female,1173
2023-2024,16,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,Male,1199
2023-2024,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Female,387
2023-2024,12,MCLENNAN COUNTY,161923,BOSQUEVILLE ISD,TRADITIONAL ISD/CSD,Male,336
2023-2024,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Female,210
2023-2024,16,PARMER COUNTY,185901,BOVINA ISD,TRADITIONAL ISD/CSD,Male,239
2023-2024,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Female,764
2023-2024,09,MONTAGUE COUNTY,169901,BOWIE ISD,TRADITIONAL ISD/CSD,Male,803
2023-2024,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Female,632
2023-2024,11,WISE COUNTY,249902,BOYD ISD,TRADITIONAL ISD/CSD,Male,661
2023-2024,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Female,44
2023-2024,16,OLDHAM COUNTY,180901,BOYS RANCH ISD,TRADITIONAL ISD/CSD,Male,109
2023-2024,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Female,249
2023-2024,20,KINNEY COUNTY,136901,BRACKETT ISD,TRADITIONAL ISD/CSD,Male,283
2023-2024,15,MCCULLOCH COUNTY,160901,BRADY ISD,TRADITIONAL ISD/CSD,Female,451
